YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 03 22 20 20 294  7.7 11.9 99.00 99.00 99.00 999 1009.9  18.5 999.0 999.0 99.0 99.00
2014 03 22 20 30 308  6.7  9.3 99.00 99.00 99.00 999 1010.0  18.3 999.0 999.0 99.0 99.00
2014 03 22 20 40 315  7.7 10.9 99.00 99.00 99.00 999 1010.1  18.4 999.0 999.0 99.0 99.00
2014 03 22 20 50 313  7.1 11.1 99.00 99.00 99.00 999 1010.3  18.0 999.0 999.0 99.0 99.00
2014 03 22 21 00 329  7.2 10.5 99.00 99.00 99.00 999 1010.5  17.5   5.5 999.0 99.0 99.00
2014 03 22 21 10 313  6.6  9.3 99.00 99.00 99.00 999 1010.7  17.6 999.0 999.0 99.0 99.00
2014 03 22 21 20 297  8.0 10.9 99.00 99.00 99.00 999 1010.9  18.2 999.0 999.0 99.0 99.00
2014 03 22 21 30 294  6.8 10.0 99.00 99.00 99.00 999 1011.1  18.0 999.0 999.0 99.0 99.00
2014 03 22 21 40 310  6.9 10.0 99.00 99.00 99.00 999 1011.2  17.7 999.0 999.0 99.0 99.00
2014 03 22 21 50 323  7.0  9.7 99.00 99.00 99.00 999 1011.4  17.6 999.0 999.0 99.0 99.00
2014 03 22 22 00 327  7.2 10.5 99.00 99.00 99.00 999 1011.5  17.2   5.3 999.0 99.0 99.00
2014 03 22 22 10 317  7.4 10.3 99.00 99.00 99.00 999 1011.6  17.3 999.0 999.0 99.0 99.00
2014 03 22 22 20 325  5.9  8.2 99.00 99.00 99.00 999 1011.8  16.9 999.0 999.0 99.0 99.00
2014 03 22 22 30 307  6.8  9.1 99.00 99.00 99.00 999 1011.9  17.2 999.0 999.0 99.0 99.00
2014 03 22 22 40 322  6.5  9.4 99.00 99.00 99.00 999 1012.0  17.1 999.0 999.0 99.0 99.00
2014 03 22 22 50 324  5.5  7.1 99.00 99.00 99.00 999 1012.2  16.4 999.0 999.0 99.0 99.00
2014 03 22 23 00 333  4.2  5.1 99.00 99.00 99.00 999 1012.3  15.5   5.4 999.0 99.0 99.00
2014 03 22 23 10 340  4.3  5.9 99.00 99.00 99.00 999 1012.5  14.9 999.0 999.0 99.0 99.00
